id,title,description,video_url,video_id,infographic_url,infographic_description,thumbnail_url,transcript,url,path
4f0a8df8-c5f4-4c63-bf15-0b90f76a4492,Breastmilk Pumping and Storing,Learn about how to pump and store breastmilk for your baby.,https://youtu.be/IQhW-NF8MN4,IQhW-NF8MN4,https://oliviahealth.org/wp-content/uploads/2023/03/BreastmilkPumpingAndStoringInfographic.png,"In this infographic, learn about breastmilk pumping and storing.",https://oliviahealth.org/wp-content/uploads/2023/03/Breastmilk.png,Breast milk pumping and storing if you breastfeed you may find it difficult to leave your baby without worrying about them getting fed whether you're going to work going on a trip or just having your partner help with feeding you're going to want to have breast milk stored and available to achieve this you may want to pump and store your breast milk but you might not know where to start if you're pumping your breast milk and you're away from your baby it would be helpful to pump during the times that your baby would normally eat so that your body continues making milk wash your hands thoroughly and make sure your pump parts are clean along with the area that you are pumping if you are having trouble getting milk flowing you could try gently massaging your breasts or try to relax after pumping you can keep milk at room temperature for up to four hours refrigerate it for up to four days freeze it put it in a cooler or use a cooler pack for up to 24 hours there are breast milk storing bags that you can buy which are specifically made for freezing breast milk good practice for storing breast milk includes labeling containers with the date freezing in small amounts leaving a room at the top of the container for the milk to expand when freezing and storing milk in the back of the freezer so it stays Frozen good practice for thawing and warming breast milk includes thawing the older milk first thawing it in the fridge overnight warming the bag under warm water never put breast milk in the microwave test milk temperatures on the wrist to avoid burning your baby use within 24 hours of thawing in the fridge and do not refreeze after thawing if you have any questions or concerns about breastfeeding and pumping contact your nurse Midwife or pediatrician for guidance.,https://oliviahealth.org/2023/03/07/breastmilk-pumping-and-storing/,quick_tips/4f0a8df8-c5f4-4c63-bf15-0b90f76a4492-BreastmilkPumpingAndStoringInfographic.png
97729750-583d-46c0-af68-eb59b5cd88fb,Baby Led Weaning,Learn about what baby led weaning is and how to begin baby led weaning.,https://youtu.be/TS5BePflVG4,TS5BePflVG4,https://oliviahealth.org/wp-content/uploads/2023/03/BabyLedWeaningInfographic.png,"In this infographic, learn about baby led weaning.",https://oliviahealth.org/wp-content/uploads/2023/03/Baby-Weaning.png,Baby lead weaning around six months of age your pediatrician may suggest adding solid foods to your baby's diet traditionally this would include pureed and mushy foods in order to Aid digestion and prevent choking but baby lead weaning is an increasingly popular alternative to feeding your baby baby LED weaning is a practice where babies of six months or older skip pureed and mashed foods and begin eating age-appropriate finger foods as soon as solids are introduced essentially this includes your baby feeding themselves the nutritious foods that they want right from the beginning they will learn how to gum or chew food swallow bring food to their mouth and eat till they're full when parents feed their baby they tend to spoon more food into the baby's mouth than the baby may be hungry for which can lead to a habit of the child ignoring feelings of fullness and eating more than necessary baby lead weaning prevents this as the baby can self-regulate the amount of food they eat and may result in a lower chance of overeating and becoming overweight another benefit of baby lead weaning is that it allows babies to experience a large variety of textures and flavors this may lead to healthy varied diets later in life along with a lower chance of food allergies some downsides are that baby LED weaning is Messy as your child will be grabbing foods with their hands and learning how to get it to their mouth another concern is that you need to pay attention to the foods that they're eating in order to ensure that they are consuming the necessary amounts of vitamins such as iron tips for baby lead weaning keep the food soft enough to smush or easily dissolved cut the food so it's easy for them to grab eat with your baby so they can mimic you give them the same Foods you're eating offer a variety of foods and continue to nurse or bottle feed at the same time of course you may be concerned about your baby choking on Foods here are some tips to make you feel more secure avoid choking hazard foods like whole Grapes apple slices large chunks of foods and crunchy snacks supervise them all they eat keep them sitting up looking for allergic reactions and take an infant CPR class take it slow and have fun with it you may find it useful to research the best foods for baby LED weaning so you can find soft or dissolvable Foods as they get older they'll be more ready for hard chewable Foods if you have any concerns consult your doctor.,https://oliviahealth.org/2023/03/07/baby-led-weaning/,quick_tips/97729750-583d-46c0-af68-eb59b5cd88fb-BabyLedWeaningInfographic.png
741c22e5-d572-4829-93d8-a4c99f173b27,Allergies,Learn about allergic reactions and your baby.,https://youtu.be/1hr0PbGXHcE,1hr0PbGXHcE,https://oliviahealth.org/wp-content/uploads/2023/03/AllergiesInfographic.png,"In this infographic, learn about food allergies in babies and young children.",https://oliviahealth.org/wp-content/uploads/2023/03/Allergies.png,Allergies in your baby as a parent you're constantly worrying about your child one thing you may often worry about when they begin eating Foods is allergies allergic reactions can seem scary but learning more about what to expect can allow you to be better prepared an allergy is an overreaction of the body to a food or substance in the environment also known as an allergen the cause is not clear but it might be genetic so if you or your partner have allergies your child is at higher risk of having them as well [Music] food allergies can start as soon as food is introduced for the first time environmental allergies likely will not begin until 18 months of age common food allergies in young children include milk eggs fish and shellfish wheat soy and nuts [Music] symptoms of food allergies may include skin rashes hives wheezing congestion and digestive issues many children outgrow food allergies by age five as the immune system matures fish shellfish and nut allergies tend to continue later in life [Music] common environmental allergies in young children include dust mites outdoor pollens molds pets and cockroaches symptoms of environmental allergies may include itchy eyes and nose congestion sneezing coughing and Asthma these allergies are less likely to be outgrown as the child grows if you suspect that your child has an allergy visit your child's doctor they can run some tests and help you figure out how to treat your child's symptoms.,https://oliviahealth.org/2023/03/07/allergies/,quick_tips/741c22e5-d572-4829-93d8-a4c99f173b27-AllergiesInfographic.png
dd127831-d85c-4403-a9c7-aee54946a99b,Maternal Mortality,Learn about causes and prevention of maternal mortality.,https://youtu.be/aaICRQbyX2M,aaICRQbyX2M,https://oliviahealth.org/wp-content/uploads/2023/03/MaternalMortalityInfographic.png,"In this infographic, learn about maternal mortality.",https://oliviahealth.org/wp-content/uploads/2023/03/Maternal-Mortality.png,"",https://oliviahealth.org/2023/03/28/maternal-mortality/,quick_tips/dd127831-d85c-4403-a9c7-aee54946a99b-MaternalMortalityInfographic.png
4622250f-0bae-4df6-aebb-e073832733b7,Postpartum Birth Control,Learn about options for postpartum birth control.,https://youtu.be/2yVzUmKVzE8,2yVzUmKVzE8,https://oliviahealth.org/wp-content/uploads/2023/03/PostpartumBirthControlInfographic.png,"In this infographic, learn about postpartum birth control.",https://oliviahealth.org/wp-content/uploads/2023/03/Postpartum.png,"",https://oliviahealth.org/2023/03/28/postpartum-birth-control/,quick_tips/4622250f-0bae-4df6-aebb-e073832733b7-PostpartumBirthControlInfographic.png
e66fba7e-0d6b-49d7-8384-19f0c0d973ae,Postpartum Depression ,Learn about causes and prevention of postpartum depression.,https://youtu.be/u5I0MiEitqA,u5I0MiEitqA,https://oliviahealth.org/wp-content/uploads/2023/03/PostpartumDepressionInfographic.png,"In this video, learn about postpartum depression.",https://oliviahealth.org/wp-content/uploads/2023/03/PPD.png,"",https://oliviahealth.org/2023/03/28/postpartum-depression/,quick_tips/e66fba7e-0d6b-49d7-8384-19f0c0d973ae-PostpartumDepressionInfographic.png
33e4796f-20ba-4e2e-b1a9-9c4f76edc05c,Vitamins and Supplements,Learn about vitamins and supplements to take during pregnancy.,https://youtu.be/FhV4vwqExio,FhV4vwqExio,https://oliviahealth.org/wp-content/uploads/2023/03/VitaminsAndSupplementsInfographic.png,"In this infographic, learn about vitamins and supplements.",https://oliviahealth.org/wp-content/uploads/2023/03/Vitamins.png,"",https://oliviahealth.org/2023/03/28/vitamins-and-supplements/,quick_tips/33e4796f-20ba-4e2e-b1a9-9c4f76edc05c-VitaminsAndSupplementsInfographic.png
e60baa0b-2443-4334-a57b-69cff5800cb3,Breastfeeding vs. Formula Feeding,Learn about the differences between breastfeeding and formula feeding.,https://youtu.be/mLRpxUE4xrA,mLRpxUE4xrA,https://oliviahealth.org/wp-content/uploads/2023/03/BreastfeedingVsFormulaFeedingInfographic.png,"In this infographic, learn about breastfeeding vs. formula feeding.",https://oliviahealth.org/wp-content/uploads/2023/03/Breastfeeding.png,Breastfeeding versus Formula feeding with parenting comes a lot of decisions to be made about your baby one of these is deciding between breastfeeding or formula feeding experts believe that breastfeeding is the healthier option if possible however there are some health issues that make it impossible for women to breastfeed breastfeeding is not recommended if you are infected with HIV you are undergoing radiation therapy you are taking medications that can harm your baby if passed through breast milk always check with your provider if you have any questions benefits to breastfeeding include skin-to-skin contact allowing bonding it's convenient milk is absorbed well by the baby antibodies and nutrients can be passed on from the mother can help the baby fight infection easy for the baby to digest no cost and it helps the mother's body return to pre-pregnancy State quicker drawbacks to breastfeeding are that it can be uncomfortable or painful for mother large time commitment baby can't be fed by anyone else unless mother pumps mother has to watch diet as substances can pass to baby benefits to formula feeding are that someone other than the mother can feed it's available at any time rather than waiting for the body to make milk no need to seek privacy when feeding mother does not need to watch the diet and there's no need to feed as often since formula is digested slower drawbacks to formula feeding are that no antibodies are passed on must plan ahead and have formula in stock must have a way to warm formula it can be costly and it's not as easily digested but it is still a nutritious option it is recommended that moms try to breastfeed for the first six months then continue feeding the baby breast milk in addition to food after that if possible try to breastfeed your baby as much as you can and then you can supplement with formula if they need more milk both breastfeeding and baby formula are nutritious options for your baby the most important thing is that they are happy and healthy so just do what you can and do your best.,https://oliviahealth.org/2023/03/07/breastfeeding-vs-formula-feeding/,quick_tips/e60baa0b-2443-4334-a57b-69cff5800cb3-BreastfeedingVsFormulaFeedingInfographic.png
1bda6460-6f40-4dca-9056-1fbb9c82dd7b,Bodily Changes During Pregnancy,Learn about body changes that occur during pregnancy.,https://youtu.be/_zN0nXHpmvg,_zN0nXHpmvg,https://oliviahealth.org/wp-content/uploads/2023/03/BodyChangesDuringPregnancyInfographic.png,"In this infographic, learn about bodily changes during pregnancy.",https://oliviahealth.org/wp-content/uploads/2023/03/body-changes.png,How the body changes during pregnancy some bodily changes throughout pregnancy are obvious but some are more subtle nearly every bodily system goes through changes and many body parts do as well let's take a look at how the endocrine system is also known as the hormone system throughout pregnancy your body will be flooded with hormones and here are some changes you may notice as a result moodiness High emotions exhaustion nausea and hot flashes this is all due to various hormones the amount of blood in your body will increase to support your baby resulting in increased work for your kidneys and urinary system there's an increased risk for varicose veins and hemorrhoids dizziness and fainting frequent urination elevated heart rate and urinary leakage when sneezing coughing or laughing as your baby grows more pressure will be put on the stomach and intestines leading to changes in digestion you may experience constipation acid reflux heartburn or slow digestion try to combat this by eating smaller meals more frequently throughout pregnancy your spine will realign to maintain balance your posture and gait may change in response it's not uncommon to experience back pain during pregnancy because of these changes around the time that labor will begin the pelvic bones will begin to loosen up you will need a larger amount of oxygen for the growth of your baby as a result you may experience to increased respiratory rate shortness of breath increased amount of rest needed when exercising and respiratory alkalosis breasts will change due to the hormones estrogen and progesterone here are some of the changes increase size tender breasts nipples may stick out colostrum leaking from nipples in the third trimester this is allowing your body to prepare for feeding your baby the abdomen expands greatly during the second and third trimester by the end of pregnancy the uterus will have expanded so much that it will reach the rib cage due to stretching a mother may experience her abdomen aching there may also be an appearance of stretch marks on the abdomen as well as the thighs breasts and buttocks other changes may include leg cramps blurred vision sciatica changes in hair and nail growth swollen feet and ankles and a slight increase in body temperature on average a woman will gain 25 to 35 pounds throughout her pregnancy in order to support her baby the body undergoes many changes in order to grow a baby though some may be unpleasant try to find comfort in knowing that your body is adapting in order to create the best possible environment for your baby.,https://oliviahealth.org/2023/03/07/bodily-changes-during-pregnancy/,quick_tips/1bda6460-6f40-4dca-9056-1fbb9c82dd7b-BodyChangesDuringPregnancyInfographic.png
660ad41b-d8f6-4b7f-be72-499b79616999,Braxton Hicks Contractions,Learn about Braxton Hicks contractions.,https://youtu.be/esrpIRynRo8,esrpIRynRo8,https://oliviahealth.org/wp-content/uploads/2023/03/Understanding-Braxton-Hicks-Contractions-Infographic_NC.png,"In this infographic, learn about Braxton Hicks contractions.",https://oliviahealth.org/wp-content/uploads/2023/03/Braxton-Hicks-1.png,Understanding Braxton Hicks contractions Braxton Hicks contractions are the intermittent tightening of your abdomen your uterus is Contracting to prepare for birth however they don't cause labor or signify that labor is starting it feels like the muscles of your belly are tight and your uterus spills hard it is uncomfortable but they should not be painful and they last about 30 seconds they occur early on but you most likely won't feel them until the second trimester however pre-labor occurs when your body is preparing for labor during late pregnancy the contractions may occur every 10 to 20 minutes at this stage here are a few of the major differences between Braxton Hicks and true labor contractions for Braxton Hicks they are irregular last 30 seconds and usually stop if you go for a walk on the other hand true labor contractions are regular start getting close together last 30 to 70 seconds and can get stronger if you walk call your doctor or Midwife If you experience pain the contractions are regular stronger and closer together or if fluid is leaking from your vagina if you feel uncomfortable during the contractions try lying down going for a walk taking a warm bath or getting a massage.,https://oliviahealth.org/2023/03/07/braxton-hicks-contractions/,quick_tips/660ad41b-d8f6-4b7f-be72-499b79616999-Understanding-Braxton-Hicks-Contractions-Infographic_NC.png
